"code","type","firma","bulstat","fobshtina","fgrad","vei","vobshtina","vgrad","moshtnost","vavejdane","geo"
"ВГ0401ВЕ0000","ВЕ","”ВГ - 4” ЕООД",124710531,"Столична","София","ВтЕЦ ”ВГ - 10, ВГ - 11”","Каварна","Каварна",4,310709,"43.45344,28.36532"
"ВГ0501ВЕ0000","ВЕ","”ВГ - 5” ЕООД",124710547,"Столична","София","ВтЕЦ ”ВГ - 12, ВГ - 13”","Каварна","Каварна",4,240210,"43.45294,28.34532"
"ВГ0601ВЕ0000","ВЕ","”ВГ - 6” ЕООД",124713301,"Столична","София","ВтЕЦ ”ВГ - 4, ВГ - 5”","Каварна","с. Могилище",4,240210,"43.46625,28.34232"
"КЕН001ВЕ0000","ВЕ","”Кей енд Ес Енерджи” ЕООД",124663019,"Столична","София","ВтЕЦ ”ВГ - 16”","Каварна","Каварна",2,260509,"43.45304,28.34507"
"КЕН101ВЕ0000","ВЕ","”Кей енд Ес Енерджи 1” ЕООД",124701637,"Столична","София","ВтЕЦ ”ВГ - 8, ВГ - 9”","Каварна","Каварна",4,310709,"43.46195,28.32721"
"КЕН201ВЕ0000","ВЕ","”Кей енд Ес Енерджи 2” ЕООД",124701621,"Столична","София","ВтЕЦ ”ВГ - 14, ВГ - 15”","Каварна","Каварна",4,310709,"43.46009,28.31895"
"ГРИГ01СЕ0000","СЕ","”Грийн Пауър БГ” ООД",200052586,"Сливен","Сливен","ФтЕЦ ”Грий Пауър - Жребино 2”","Елхово","с. Жребино",0.0816,240611,"42.24118,26.70352"
"ГРИГ02СЕ0000","СЕ","”Грийн Пауър БГ” ООД",200052586,"Сливен","Сливен","ФтЕЦ ”Грий Пауър - Жребино 1”","Елхово","с. Жребино",0.0816,240611,"42.24434,26.70048"
"ДОЖИ01СЕ0000","СЕ","”Доброселец Енерджи” ООД",200687144,"Сливен","Сливен","ФтЕЦ ”Доброселец Енерджи”","Тополовград","с. Доброселец",1.5792,150911,"42.15191,26.30706"
"МИБО01ВД0000","ВД","”Мивабо” ООД",101665228,"Варна","Варна","ВЕЦ ”Иваник”","Петрич","с. Беласица",0.75,290711,"41.36714,23.13115"
"ХИОВ01ВД0000","ВД","”Хидро Енерджи ОВ” ЕООД",131203836,"Столична","София","ВЕЦ ”Стара река”","Пещера","Пещера",0.582,80811,"42.03520,24.29248"
"ВИБ101ВЕ0000","ВЕ","”Виндферм Балчик 1” ООД",175431987,"Столична","София","ВтЕЦ ”Балчик Г1 и Г2”","Балчик","с. Ляхово",4,290710,"43.42689,28.04494"
"ВИБ201ВЕ0000","ВЕ","”Виндферм Балчик 2” ООД",175432014,"Столична","София","ВтЕЦ ”Балчик Г3”","Балчик","с. Ляхово",2,290710,"43.42661,28.03998"
"ВИБ202ВЕ0000","ВЕ","”Виндферм Балчик 2” ООД",175432014,"Столична","София","ВтЕЦ ”Балчик Г4”","Балчик","с. Ляхово",2,151010,"43.42537,28.04157"
"ВИБ401ВЕ0000","ВЕ","”Виндферм Балчик 4” ООД",200093864,"Столична","София","ВтЕЦ ”Тригорци - Г6”","Балчик","с. Тригорци",2,151010,"43.53109,28.19435"
"СЛБР01СЕ0000","СЕ","”Слънчев бряг” АД",812020577,"Несебър","к. к. ”Слънчев бряг”","ФтЕЦ ”Слънчев бряг”","Несебър","к. к. ”Слънчев бряг”",0.12,110110,"42.70000,27.70644"
"ХРВТ01ВД0000","ВД","”Хидроват” АД",101060962,"Благоевград","Благоевград","МВЕЦ ”Ретиже”","Банско","с. Места",0.18,120698,"41.75793,23.67176"
"ДМУЗ01ВЕ0000","ВЕ","ЕТ ”Делчо В. Мушев внос - износ”",102036266,"Бургас","Бургас","ВтЕЦ ”Мушев - с. Дрянковец”","Айтос","с. Дрянковец",0.26,21208,"42.68793,27.37001"
